,incident_key,occur_date,occur_time,boro,loc_of_occur_desc,loc_classfctn_desc,murder,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race,newgeoreferencedcolumn,zipcodes,date_time
767,261948976,01/14/2023,18:20:00,MANHATTAN,OUTSIDE,HOUSING,N,18-24,M,BLACK,25-44,M,BLACK,POINT (-73.964958 40.796382),12422.0,2023-01-14 18:20:00
768,262747863,01/30/2023,07:25:00,BRONX,OUTSIDE,STREET,Y,25-44,M,BLACK,25-44,M,BLACK HISPANIC,POINT (-73.89887473 40.82384965),10937.0,2023-01-30 07:25:00
769,265006010,03/10/2023,15:16:00,BRONX,OUTSIDE,DWELLING,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.872288 40.834463),11610.0,2023-03-10 15:16:00
770,264262260,02/26/2023,18:06:00,QUEENS,OUTSIDE,HOUSING,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.78363 40.685317),24669.0,2023-02-26 18:06:00
771,262334290,01/21/2023,22:23:00,BRONX,OUTSIDE,OTHER,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.915354 40.83113),10934.0,2023-01-21 22:23:00
772,262145575,01/18/2023,16:49:00,QUEENS,OUTSIDE,STREET,N,<18,M,BLACK,<18,M,BLACK,POINT (-73.744911 40.696395),15311.0,2023-01-18 16:49:00
773,263692952,02/15/2023,17:20:00,BRONX,OUTSIDE,STREET,Y,<18,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,POINT (-73.90462205 40.8473932),10935.0,2023-02-15 17:20:00
774,265304929,03/18/2023,05:25:00,QUEENS,OUTSIDE,DWELLING,N,45-64,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,POINT (-73.852163 40.69228),24017.0,2023-03-18 05:25:00
775,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,N,25-44,M,WHITE HISPANIC,18-24,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
776,264658458,03/06/2023,15:17:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,<18,M,BLACK,POINT (-73.99321 40.765282),12081.0,2023-03-06 15:17:00
777,261712056,01/10/2023,21:33:00,BROOKLYN,OUTSIDE,STREET,Y,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.92463916 40.65250076),16866.0,2023-01-10 21:33:00
778,263950623,02/20/2023,23:30:00,BRONX,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.910478 40.841567),10935.0,2023-02-20 23:30:00
779,264319317,02/27/2023,08:16:00,BROOKLYN,INSIDE,DWELLING,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.89115 40.659248),17214.0,2023-02-27 08:16:00
780,263073499,02/04/2023,18:55:00,BROOKLYN,OUTSIDE,STREET,Y,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,POINT (-73.860214 40.670555),17215.0,2023-02-04 18:55:00
781,266002888,03/31/2023,23:35:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,18-24,M,BLACK,POINT (-73.90965 40.655923),17614.0,2023-03-31 23:35:00
782,264530499,03/03/2023,10:31:00,BROOKLYN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK,POINT (-73.95056707 40.66011787),13509.0,2023-03-03 10:31:00
783,262145574,01/18/2023,16:05:00,BRONX,OUTSIDE,STREET,N,25-44,M,BLACK,25-44,M,BLACK,POINT (-73.887653 40.815372),12343.0,2023-01-18 16:05:00
784,263503175,02/10/2023,14:29:00,BRONX,OUTSIDE,STREET,N,45-64,M,WHITE HISPANIC,25-44,M,BLACK,POINT (-73.892569 40.846117),10935.0,2023-02-10 14:29:00
785,264600809,03/04/2023,18:25:00,MANHATTAN,OUTSIDE,STREET,N,UNKWOWN,UNKWOWN,UNKWOWN,25-44,M,BLACK HISPANIC,POINT (-73.938566 40.845816),13091.0,2023-03-04 18:25:00
786,265750630,03/27/2023,22:11:00,MANHATTAN,OUTSIDE,HOUSING,N,UNKWOWN,UNKWOWN,UNKWOWN,<18,M,BLACK,POINT (-73.952699 40.803768),12423.0,2023-03-27 22:11:00
